KOMKODE,KOMNAVN,Antal testede,Antal COVID‐19 tilfælde,Befolkning,Kumulativ
101,København,14.374,1520,6,23.404,244
147,Frederiksberg,2.465,291,1,03.960,280
155,Dragør,279,23,14.270,161
185,Tårnby,898,67,42.984,156
165,Albertslund,738,94,27.877,337
151,Ballerup,1.293,126,48.458,260
153,Brøndby,832,103,35.397,291
157,Gentofte,1.702,184,75.176,245
159,Gladsaxe,1.665,176,69.681,253
161,Glostrup,640,100,22.615,442
163,Herlev,698,78,28.786,271
167,Hvidovre,1.407,181,53.416,339
169,Høje‐Taastrup,1.017,109,50.686,215
183,Ishøj,514,64,22.946,279
173,Lyngby‐Taarbæk,1.272,108,55.790,194
175,Rødovre,950,100,40.052,250
187,Vallensbæk,416,70,16.654,420
201,Allerød,486,20,25.646,78
240,Egedal,1.012,127,43.335,293
210,Fredensborg,809,34,40.819,83
250,Frederikssund,947,61,45.332,135
190,Furesø,864,57,41.069,139
270,Gribskov,924,53,41.195,129
260,Halsnæs,620,30,31.271,96
217,Helsingør,1.382,93,62.567,149
219,Hillerød,1.080,76,50.998,149
223,Hørsholm,544,51,25.007,204
230,Rudersdal,1.184,97,56.509,172
400,Bornholm,931,55,39.572,139
411,Christiansø,3,<10tilfælde,90,<10tilfælde
253,Greve,715,67,50.267,133
259,Køge,821,90,60.675,148
350,Lejre,415,37,27.775,133
265,Roskilde,1.317,116,87.577,132
269,Solrød,337,35,23.065,152
320,Faxe,487,35,36.513,96
376,Guldborgsund,831,48,60.930,79
316,Holbæk,1.052,88,71.297,123
326,Kalundborg,611,44,48.681,90
360,Lolland,657,52,41.615,125
370,Næstved,1.177,102,82.991,123
306,Odsherred,440,27,33.122,82
329,Ringsted,414,30,34.725,86
330,Slagelse,1.579,243,79.073,307
340,Sorø,459,47,29.834,158
336,Stevns,275,17,22.782,75
390,Vordingborg,556,28,45.816,61
420,Assens,598,19,41.212,46
430,Faaborg‐Midtfyn,676,29,51.809,56
440,Kerteminde,363,11,23.773,46
482,Langeland,180,<10tilfælde,12.560,<10tilfælde
410,Middelfart,663,38,38.553,99
480,Nordfyns,428,13,29.693,44
450,Nyborg,477,32,32.042,100
461,Odense,3.286,150,204.182,73
479,Svendborg,1.132,75,58.599,128
492,Ærø,74,<10tilfælde,6.058,<10tilfælde
530,Billund,313,18,26.629,68
561,Esbjerg,1.778,108,115.652,93
563,Fanø,32,<10tilfælde,3.404,<10tilfælde
607,Fredericia,867,35,51.427,68
510,Haderslev,556,<10tilfælde,55.857,<10tilfælde
621,Kolding,1.601,99,92.893,107
540,Sønderborg,779,12,74.561,16
550,Tønder,321,12,37.587,32
573,Varde,605,14,50.129,28
575,Vejen,540,22,42.863,51
630,Vejle,1.801,71,114.830,62
580,Aabenraa,787,38,59.035,64
710,Favrskov,596,24,48.374,50
766,Hedensted,538,13,46.747,28
615,Horsens,1.254,34,90.370,38
707,Norddjurs,449,<10tilfælde,37.680,<10tilfælde
727,Odder,295,<10tilfælde,22.675,<10tilfælde
730,Randers,1.143,23,97.909,23
741,Samsø,46,<10tilfælde,3.684,<10tilfælde
740,Silkeborg,1.365,95,93.054,102
746,Skanderborg,937,47,61.974,76
706,Syddjurs,592,13,42.768,30
751,Aarhus,5.667,302,345.332,87
657,Herning,1.470,211,88.917,237
661,Holstebro,1.360,200,58.504,342
756,Ikast‐Brande,485,36,41.282,87
665,Lemvig,217,19,19.998,95
760,Ringkøbing‐Skjern,609,57,56.930,100
779,Skive,523,31,46.224,67
671,Struer,284,28,21.143,132
791,Viborg,1.237,69,97.113,71
810,Brønderslev,626,34,36.370,93
813,Frederikshavn,657,13,59.987,22
860,Hjørring,938,23,64.665,36
849,Jammerbugt,587,19,38.460,49
825,Læsø,13,<10tilfælde,1.806,<10tilfælde
846,Mariagerfjord,607,26,42.055,62
773,Morsø,331,14,20.403,69
840,Rebild,446,11,29.916,37
787,Thisted,656,30,43.660,69
820,Vesthimmerlands,654,43,37.121,116
851,Aalborg,3.327,133,215.312,62
